Code,Year,TOTAL,CO2,CH4,N2O,GVA,ITL1
E06000057,2023,1405.977307,746.1291194,482.5882689,177.2599184,6066,TLC
E06000003,2015,6362.522733,6201.809094,126.6514981,34.0621404,2237,TLC
E06000003,2016,1796.388401,1724.847002,51.57665481,19.96474418,2102,TLC
E06000003,2017,1724.182239,1648.868789,55.38953776,19.92391184,1915,TLC
E06000003,2018,1675.728452,1602.586846,54.85482508,18.28678089,1979,TLC
E06000003,2019,1593.311181,1518.985654,56.21920396,18.10632336,1986,TLC
E06000003,2020,1324.13401,1257.082255,51.22283617,15.82891902,1892,TLC
E06000003,2021,879.7866979,805.0432095,59.50455027,15.23893808,1974,TLC
E06000003,2022,776.1212721,700.9826304,59.68373217,15.4549095,2051,TLC
E06000003,2023,606.7148309,535.7133278,58.40028152,12.60122157,2044,TLC
E08000023,2015,217.7497939,194.4051109,17.64490764,5.699775385,2212,TLC
E08000023,2016,184.9068842,166.514613,13.12361033,5.26866092,2082,TLC
E08000023,2017,174.5669197,157.5290249,11.8110989,5.226795918,2081,TLC
E08000023,2018,172.554137,156.1635731,11.74981198,4.640751962,2032,TLC
E08000023,2019,159.4213468,136.4804105,17.23514648,5.705789802,2102,TLC
E08000023,2020,191.242831,125.5590489,61.05407579,4.629706348,1750,TLC
E08000023,2021,161.6824011,136.5898764,20.40322875,4.689295921,2046,TLC
E08000023,2022,153.552869,136.4109162,12.54265627,4.599296479,2061,TLC
E08000023,2023,149.100473,129.3318854,14.88243664,4.886150961,2031,TLC
E06000004,2015,2702.472756,2554.763752,108.8664128,38.84259125,5893,TLC
E06000004,2016,2329.004437,2206.43105,85.49970127,37.07368659,5872,TLC
E06000004,2017,2639.567907,2535.173431,57.87029691,46.5241789,5670,TLC
E06000004,2018,2285.348866,2187.773716,59.74096686,37.83418309,5659,TLC
E06000004,2019,2210.852852,2094.181845,69.40310838,47.26789782,5829,TLC
E06000004,2020,2132.814543,2011.420477,66.44588952,54.9481763,5412,TLC
E06000004,2021,1722.800628,1606.743161,69.47089286,46.58657407,5773,TLC
E06000004,2022,1531.713273,1419.122576,71.74269251,40.84800361,5941,TLC
E06000004,2023,1495.542611,1385.463711,66.01555228,44.06334805,5659,TLC
E08000024,2015,774.9924222,645.4133624,115.7679867,13.81107313,7687,TLC
E08000024,2016,676.997306,581.0018606,83.46664443,12.52880099,7664,TLC
E08000024,2017,618.726842,544.0303,61.95690025,12.73964169,7875,TLC
E08000024,2018,580.7592199,523.4473816,44.62974268,12.6820957,7716,TLC
E08000024,2019,552.6521073,473.7153788,66.51858907,12.41813944,7912,TLC
E08000024,2020,496.7545546,415.0425132,70.1902161,11.5218253,6593,TLC
E08000024,2021,519.3381143,459.1194299,47.5017043,12.71698013,6995,TLC
E08000024,2022,504.1367919,441.4176174,50.14241717,12.57675732,7115,TLC
E08000024,2023,532.499497,469.0774115,51.42127145,12.00081412,7307,TLC
E06000008,2015,381.4391299,334.486459,34.29877162,12.65389926,3399,TLD
E06000008,2016,353.1288305,308.1125901,32.4514382,12.56480226,3487,TLD
E06000008,2017,372.7800921,326.7819018,33.46847983,12.52971044,3494,TLD
E06000008,2018,355.744979,310.4710372,32.8666206,12.40732124,3471,TLD
E06000008,2019,391.6811909,341.7598409,37.86084382,12.0605062,3520,TLD
E06000008,2020,379.8314267,330.6705502,36.80932686,12.35154962,3167,TLD
E06000008,2021,346.6031439,300.3064369,33.81990039,12.4768066,3671,TLD
E06000008,2022,287.4981413,244.3525463,31.57048263,11.57511235,3852,TLD
E06000008,2023,255.0800726,213.4965974,30.30255456,11.28092059,3826,TLD
E06000009,2015,239.5573105,219.518797,12.71935717,7.319156366,2813,TLD
E06000009,2016,213.1462179,193.2372797,12.29377215,7.61516602,2944,TLD
E06000009,2017,201.8613142,183.2406663,11.35121617,7.269431722,3073,TLD
E06000009,2018,210.2065565,192.0956659,11.06456387,7.046326693,3107,TLD
E06000009,2019,205.0710859,188.1260864,10.26079557,6.684203856,3267,TLD
E06000009,2020,176.8460337,161.2739556,8.971684988,6.600393085,2685,TLD
E06000009,2021,204.6873034,187.3446026,10.37788306,6.964817739,2904,TLD
E06000009,2022,192.6568654,175.8058034,10.27082607,6.580235974,3147,TLD
E06000009,2023,173.7479392,156.7216875,11.00899557,6.017256152,3035,TLD
E08000001,2015,603.3134427,520.4547697,61.7933841,21.06528892,6087,TLD
E08000001,2016,584.8104823,480.8131303,82.82458006,21.17277199,6230,TLD
E08000001,2017,588.3922606,468.3292862,98.4500901,21.61288421,6437,TLD
E08000001,2018,635.114967,465.5237108,147.8136676,21.77758861,6695,TLD
E08000001,2019,549.0945697,439.0721556,88.50180086,21.5206132,6500,TLD
E08000001,2020,572.1815051,407.3312331,143.2236712,21.62660085,6230,TLD
E08000001,2021,555.0570007,431.3559409,101.5131719,22.18788795,6507,TLD
E08000001,2022,473.2907395,401.1131631,50.8788431,21.29873335,6575,TLD
E08000001,2023,458.9303704,381.5130603,55.77504203,21.64226801,6830,TLD
E08000002,2015,425.6910834,369.9564618,46.7299972,9.004624448,3687,TLD
E08000002,2016,396.6833078,351.8123858,35.82026205,9.050660012,3706,TLD
E08000002,2017,392.4412496,333.9450903,49.61737638,8.878782946,3743,TLD
E08000002,2018,459.6462931,340.873471,109.7993532,8.973468823,3773,TLD
E08000002,2019,395.9033472,316.5505355,70.35790634,8.994905364,3938,TLD
E08000002,2020,374.8726254,295.615701,70.11883495,9.138089409,3565,TLD
E08000002,2021,386.4353108,325.6429833,51.91273919,8.8795883,3685,TLD
E08000002,2022,398.9623699,290.3991951,100.1131137,8.450061096,3698,TLD
E08000002,2023,397.6233309,271.0731152,118.1371177,8.413098043,3942,TLD
E06000049,2015,1986.211765,1261.020523,578.1311452,147.060097,15243,TLD
E06000049,2016,1899.148977,1199.80191,556.9311901,142.4158764,15407,TLD
E06000049,2017,1887.141245,1180.969821,561.1761452,144.9952795,15113,TLD
E06000049,2018,1861.771671,1173.157522,542.8557382,145.7584115,15327,TLD
E06000049,2019,1758.065908,1094.718752,516.6527058,146.6944495,15521,TLD
E06000049,2020,1767.074379,1090.628612,531.2971233,145.1486435,14582,TLD
E06000049,2021,1839.815442,1155.414629,537.0865964,147.3142168,14721,TLD
E06000049,2022,1760.661495,1073.054151,549.2129925,138.3943517,15524,TLD
E06000049,2023,1716.903318,1032.609394,546.1994618,138.0944613,15590,TLD
E06000050,2015,3294.643056,2598.293218,581.214282,115.1355558,11613,TLD
E06000050,2016,3315.154149,2664.279505,542.0589956,108.815649,11944,TLD
